"Techstack","Links"
"React, Node.js, MongoDB","https://arjun.com/react-portfolio"
"Angular,.NET, SQL Server","https://arjun.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://arjun.com/vue-portfolio"
"Python, Django, MySQL","https://arjun.com/python-portfolio"
"Java, Spring Boot, Oracle","https://arjun.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://arjun.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://arjun.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://arjun.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://arjun.com/react-native-portfolio"
"iOS, Swift, Core Data","https://arjun.com/ios-portfolio"
"Android, Java, Room Persistence","https://arjun.com/android-portfolio"
"Kotlin, Android, Firebase","https://arjun.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://arjun.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://arjun.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://arjun.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://arjun.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://arjun.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://arjun.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://arjun.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://arjun.com/devops-portfolio"
